deposit,age,balance,duration,pdays,default_numeric,housing_numeric,loan_numeric,contact_previ_numeric,marital_divorced,marital_married,marital_single,education_primary,education_secondary,education_tertiary,education_unknown
1,1.1764705882352942,1.130517023959647,2.1983240223463687,0.0,0.0,1.0,0.0,0.0,False,True,False,False,True,False,False
1,1.0,-0.3184110970996217,3.3854748603351954,0.0,0.0,0.0,0.0,0.0,False,True,False,False,True,False,False
1,0.11764705882352941,0.45397225725094575,3.1675977653631286,0.0,0.0,1.0,0.0,0.0,False,True,False,False,True,False,False
1,0.9411764705882353,1.21437578814628,0.9050279329608939,0.0,0.0,1.0,0.0,0.0,False,True,False,False,True,False,False
1,0.8823529411764706,-0.23076923076923078,1.1675977653631284,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,True,False
1,0.17647058823529413,-0.3467843631778058,0.8575418994413407,0.0,0.0,1.0,1.0,0.0,False,False,True,False,False,True,False
1,1.0,0.17654476670870115,2.642458100558659,0.0,0.0,1.0,1.0,0.0,False,True,False,False,False,True,False
1,1.2352941176470589,-0.0031525851197982345,2.164804469273743,0.0,0.0,1.0,0.0,0.0,True,False,False,False,True,False,False
1,-0.11764705882352941,-0.34615384615384615,0.9860335195530726,0.0,0.0,1.0,0.0,0.0,False,True,False,False,True,False,False
1,-0.6470588235294118,2.862547288776797,2.910614525139665,0.0,0.0,1.0,0.0,0.0,False,False,True,False,True,False,False
1,-0.058823529411764705,-0.2837326607818411,1.4832402234636872,0.0,0.0,1.0,0.0,0.0,False,False,True,False,True,False,False
1,-0.5294117647058824,-0.15195460277427492,3.684357541899441,0.0,0.0,1.0,0.0,0.0,False,True,False,False,True,False,False
1,-0.5882352941176471,-0.22131147540983606,4.005586592178771,0.0,0.0,1.0,1.0,0.0,False,True,False,False,False,True,False
1,0.4117647058823529,-0.05674653215636822,2.3659217877094973,0.0,0.0,1.0,0.0,0.0,False,False,True,False,False,True,False
1,-0.47058823529411764,0.09646910466582598,1.9217877094972067,0.0,0.0,1.0,0.0,0.0,False,False,True,False,False,True,False
1,-0.23529411764705882,2.0725094577553596,2.315642458100559,0.0,0.0,1.0,0.0,0.0,True,False,False,False,False,True,False
1,-0.4117647058823529,0.038461538461538464,0.7988826815642458,0.0,0.0,1.0,0.0,0.0,False,False,True,True,False,False,False
1,0.5882352941176471,-0.35182849936948296,2.4134078212290504,0.0,0.0,1.0,0.0,0.0,False,True,False,False,True,False,False
1,0.11764705882352941,-0.3121059268600252,2.416201117318436,0.0,0.0,1.0,0.0,0.0,False,True,False,False,True,False,False
1,0.5882352941176471,-0.2408575031525851,0.7206703910614525,0.0,0.0,1.0,1.0,0.0,True,False,False,False,True,False,False
